person_id,jmeno,profese,afiliace_kategorie,afiliace
1971,"prof. PhDr. Andrea Pokorná, Ph.D.",nelekar_vs,nezarazeno,"zástupce Asociace vysokoškolských vzdělavatelů nelékařských zdravotnických profesí | zástupkyně Asociace vysokoškolských vzdělavatelů nelékařských zdravotnických pracovníků"
3176,"Mgr. Petr Peiger",pravnik,nezarazeno,"zástupce Odboru legislativně-právního | MZ, LEG | LEG MZ"
507,"Zdeňka Faltýnková",bez_titulu,mz_urednik,"Česká asociace paraplegiků - CZEPA, z. s. (https://czepa.cz/) | zástupce České asociace paraplegiků CZEPA | Pacientská rada ministra zdravotnictví"
1955,"MUDr. Ludmila Plšková",lekar,nezarazeno,"SZP | SZP ČR"
1980,"Mgr. Barbora Poláková",nelekar_vs,nezarazeno,"vedoucí Oddělení lékařských povolání"
3904,"Mgr. Bc. Pavel Kurek, DiS.",nelekar_vs,nezarazeno,"zástupce Odboru zdravotní péče"
213,"Ing. René Břečťan",nelekar_vs,nezarazeno,"Česká asociace pro vzácná onemocnění"
380,"prof. MUDr. Pavla Doležalová, CSc.",lekar,nezarazeno,"expert MZ pro oblast vzácných onemocnění"
858,"PhDr. Mgr. Bc. Vladimír Husárek, DiS., MBA, LL.M.",nelekar_vs,nezarazeno,"Komora záchranářů ZZS ČR"
1081,"Ing. Lucia Kiššová",nelekar_vs,nezarazeno,"Úřad vlády ČR"
1141,"prof. MUDr. Milan Kolář, Ph.D.",lekar,nezarazeno,"člen od 1.9.2025"
1320,"MUDr. Milan Kubek",lekar,nezarazeno,"prezident České lékařské komory"
1920,"Jana Petrenko",bez_titulu,mz_urednik,"bez hlasovacího práva | Ministerstvo zdravotnictví"
2109,"doc. MUDr. Martin Repko, Ph.D.",lekar,nezarazeno,"zástupce České konference rektorů"
2118,"PeadDr. Martina Richterová-Těmínová",bez_titulu,neuvedeno,""
2419,"prof. MUDr. Marek Svoboda, Ph.D.",lekar,nezarazeno,"Masarykův onkologický ústav"
