group_id,group_name,section_unit,role,person_id,person_name,affiliation
1,"Etická komise Ministerstva zdravotnictví","MIN/KAN","Předseda",309,"prof. MUDr. Vladimír Černý, Ph.D., FCCM, FESAIC","předseda České společnosti anesteziologie, resuscitace a intenzivní medicíny ČLS JEP, ČSARIM, z.s., Brno"
1,"Etická komise Ministerstva zdravotnictví","MIN/KAN","Členové",3566,"PhDr. David Černý, Ph.D.","Ústav státu a práva AV ČR, Praha"
1,"Etická komise Ministerstva zdravotnictví","MIN/KAN","Členové",3563,"doc. JUDr. Tomáš Doležal, Ph.D., LL.M.","Ústav státu a práva AV ČR, Praha"
1,"Etická komise Ministerstva zdravotnictví","MIN/KAN","Členové",759,"doc. MUDr. Iva Holmerová, Ph.D.","vedoucí Centra pro studium dlouhověkosti a dlouhodobé péče FHS UK ředitelka Gerontologického centra"
1,"Etická komise Ministerstva zdravotnictví","MIN/KAN","Členové",776,"prof. MUDr. Jiří Horáček, Ph.D., FCMA","ředitel, Národní institut duševního zdraví"
1,"Etická komise Ministerstva zdravotnictví","MIN/KAN","Členové",4222,"MUDr. Mgr. Ing. Bc. Dalimil Chocholáč, Ph.D., MBA, LL.M.","Česká společnost pro akreditaci ve zdravotnictví"
1,"Etická komise Ministerstva zdravotnictví","MIN/KAN","Členové",3562,"doc. PhDr. Ing. Hana Konečná, Ph.D.","Jihočeská univerzita, Zdravotně sociální fakulta, České Budějovice"
1,"Etická komise Ministerstva zdravotnictví","MIN/KAN","Členové",3865,"MUDr. Irena Maříková, Ph.D., MBA","ředitelka, IPVZ Praha"
1,"Etická komise Ministerstva zdravotnictví","MIN/KAN","Členové",1832,"prof. MUDr. Pavel Pafko, DrSc.","III. chirurgická klinika 1.LF UK a FN Motol, Praha"
1,"Etická komise Ministerstva zdravotnictví","MIN/KAN","Členové",1870,"Jindřiška Pavlicová","zdravotní sestra, Česká asociace sester Praha"
1,"Etická komise Ministerstva zdravotnictví","MIN/KAN","Členové",3686,"Mgr. Štěpánka Pokorná","ředitelka, Aliance žen s rakovinou prsu, o.p.s."
1,"Etická komise Ministerstva zdravotnictví","MIN/KAN","Členové",2051,"JUDr. Ing. Lukáš Prudil, Ph.D.","advokát, Brno"
1,"Etická komise Ministerstva zdravotnictví","MIN/KAN","Členové",2226,"doc. MUDr. Bohumil Seifert, Ph.D.","všeobecný lékař, 1. LF UK Praha"
1,"Etická komise Ministerstva zdravotnictví","MIN/KAN","Členové",4223,"JUDr. Barbora Steinlauf, MA, Ph.D.","advokátka, Praha"
1,"Etická komise Ministerstva zdravotnictví","MIN/KAN","Členové",2476,"prof. MUDr. Pavel Ševčík, CSc.","Klinika anesteziologie, resuscitace a intenzivní medicíny, Ostrava"
1,"Etická komise Ministerstva zdravotnictví","MIN/KAN","Členové",2545,"PhDr. Martina Šochmanová, MBA","náměstek ředitele pro ošetřovatelskou péči a kvalitu, IKEM Praha"
1,"Etická komise Ministerstva zdravotnictví","MIN/KAN","Členové",4224,"prof. MUDr. Jan Trnka, Ph.D., MPhil., MSc.","děkan 3. LF UK Praha"
1,"Etická komise Ministerstva zdravotnictví","MIN/KAN","Členové",3564,"prof. RNDr. Renata Veselská, Ph.D., M.Sc.","Masarykova univerzita Brno"
2,"Rada poskytovatelů Ministerstva zdravotnictví","MIN/KAB","Předseda",467,"MUDr. Vladimír Dvořák, Ph.D.",""
