person_id,person_name,pocet_clenstvi,role,afiliace,skupiny
2507,"Ing. Mgr. Venuše Škampová",26,"Členové; Předseda; Místopředseda","ředitelka OZP MZ ; ředitelka Odboru zdravotní péče ; Ministerstvo zdravotnictví ; MZD/OZP ; Odbor zdravotní péče MZ ČR ; OZP MZ ; ředitelka Odboru zdravotní péče MZd ; pověřená vrchní ředitelka pro zdravotní péči MZD","Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami (Členové) ; Národní imunizační komise (NIKO) (Členové) ; Resortní koordinační skupina Ministerstva zdravotnictví ČR pro Evropskou unii (Členové) ; Komise pro reprodukční medicínu (Předseda) ; Pracovní komise pro systémové řešení urgentních příjmů (Místopředseda) ; Pracovní skupina pro metodické řízení poskytovatelů zdravotnických záchranných služeb (Místopředseda) ; Národní rada pro implementaci Národního onkologického programu (Členové) ; Mezioborová komise pro vzácná onemocnění (Místopředseda) ; Národní rada elektronického zdravotnictví (Členové) ; Meziresortní koordinační skupina pro dětské duševní zdraví (Členové) ; Pracovní skupina pro restrukturalizaci intenzivní zdravotní péče (Předseda) ; Komise pro přípravu programu časného záchytu karcinomu prostaty (Členové) ; Pracovní skupina k problematice péče o pacienty s nařízeným ochranným léčením (Členové) ; Pracovní skupina pro koncepční řešení rozvoje geriatrické péče v České republice (Předseda) ; Řídicí výbor implementace Strategického rámce rozvoje péče o zdraví v České republice do roku 2030 (Členové) ; Strategická skupina pro personální stabilizaci resortu zdravotnictví (Místopředseda) ; Meziresortní pracovní skupina pro problematiku institucionálního stravování (Členové) ; Pracovní skupina pro koncepční řešení pediatrické péče (Předseda) ; Komise pro schvalování pracovišť a zařazení radiologického pracoviště pro provádění magnetické rezonance (MRI) v rámci Populačního pilotního programu časného záchytu karcinomu prostaty v ČR a pro schvalování pracovišť a zařazení urologického pracoviště pro provádění biopsie prostaty v rámci Populačního pilotního programu časného záchytu karcinomu prostaty v ČR (Předseda) ; Pracovní skupina pro koncepci neurorehabilitační péče v ČR (Předseda) ; Koncepční pracovní skupina pro přípravu budoucího programového období kohezní politiky EU 2028+ (Místopředseda) ; Národní rada komplexních onkologických center (Členové) ; Pracovní skupina pro obezitu a diabetes v rámci Národního programu prevence a léčby obezity České republiky (Členové) ; Výkonná rada Národního screeningového centra (Členové) ; Pracovní skupina pro specializovanou zdravotní péči a Centra vysoce specializované zdravotní péče (CVSP) (Členové) ; Výbor pro umělou inteligenci ve zdravotnictví (Členové)"
450,"prof. RNDr. Ladislav Dušek, Ph.D.",19,"Místopředseda; Členové","Ústav zdravotnických informací a statistiky ČR ; ÚZIS ; ÚZIS ČR ; Ústav zdravotnických informací a statistiky ČR (ÚZIS ČR) ; ředitel Ústavu zdravotnických informací a statistiky ČR","Řídící rada pro implementaci CZ-DRG do resortu zdravotnictví (Místopředseda) ; Národní rada pro implementaci Národního onkologického programu (Členové) ; Národní rada elektronického zdravotnictví (Členové) ; Pracovní skupina pro restrukturalizaci intenzivní zdravotní péče (Členové) ; Komise pro přípravu programu screeningu aneurysmatu abdominální aorty (Členové) ; Komise pro program screeningu karcinomu děložního hrdla (Členové) ; Komise pro program časného záchytu karcinomu plic (Členové) ; Komise pro přípravu programu časného záchytu karcinomu prostaty (Členové) ; Komise pro program screeningu karcinomu prsu (Členové) ; Komise pro program screeningu kolorektálního karcinomu (Členové) ; Komise pro přípravu programu časného záchytu poruch štítné žlázy v těhotenství (Členové) ; Řídicí výbor implementace Strategického rámce rozvoje péče o zdraví v České republice do roku 2030 (Členové) ; Strategická skupina pro personální stabilizaci resortu zdravotnictví (Členové) ; Národní institut pro zvládání pandemie (Členové) ; Komise pro podporu diagnostiky a léčby rakoviny slinivky břišní (Členové) ; Pracovní skupina pro reformu veřejného zdraví v ČR (Členové) ; Národní rada komplexních onkologických center (Členové) ; Řídící rada Národního screeningového centra (Členové) ; Výkonná rada Národního screeningového centra (Členové)"
3109,"MUDr. Iveta Matějovská, CSc.",17,"Členové","Ministerstvo zdravotnictví ; zástupce Odboru regulace cen a úhrad ; Odbor regulace cen a úhrad Ministerstvo zdravotnictví ČR ; Odbor regulace cen a úhrad Ministerstva zdravotnictví ; Odbor regulace cen a úhrad MZ ČR ; MZD ČR, odbor regulace cen a úhrad ; MZd OZI ; CAU MZ ; Odbor regulace cen a úhrad MZD ; Odbor regulace cen a úhrad MZd ČR","Pracovní skupina pro dětskou a dorostovou psychiatrii (Členové) ; Mezioborová komise pro vzácná onemocnění (Členové) ; Odborná rada pro ošetřovatelství a řízení implementace a hodnocení úspěšnosti Koncepce ošetřovatelství (Členové) ; Centrální koordinační skupina Národního antibiotického programu (Členové) ; Komise pro přípravu programu screeningu aneurysmatu abdominální aorty (Členové) ; Komise pro program screeningu karcinomu děložního hrdla (Členové) ; Komise pro program časného záchytu karcinomu plic (Členové) ; Komise pro přípravu programu časného záchytu karcinomu prostaty (Členové) ; Komise pro program screeningu karcinomu prsu (Členové) ; Komise pro program screeningu kolorektálního karcinomu (Členové) ; Komise pro přípravu programu časného záchytu poruch štítné žlázy v těhotenství (Členové) ; Komise pro výživu kojenců a malých dětí (Členové) ; Pracovní skupina pro koncepční řešení rozvoje geriatrické péče v České republice (Členové) ; Komise pro schvalování pracovišť a zařazení radiologického pracoviště pro provádění magnetické rezonance (MRI) v rámci Populačního pilotního programu časného záchytu karcinomu prostaty v ČR a pro schvalování pracovišť a zařazení urologického pracoviště pro provádění biopsie prostaty v rámci Populačního pilotního programu časného záchytu karcinomu prostaty v ČR (Členové) ; Pracovní skupina pro koncepci neurorehabilitační péče v ČR (Členové) ; Komise pro podporu diagnostiky a léčby rakoviny slinivky břišní (Členové) ; Komise pro novorozenecký laboratorní screening (Členové)"
3064,"Mgr. Alice Strnadová, MBA",15,"Členové; Předseda; Místopředseda","ředitelka Odboru zdravotnických povolání, hlavní sestra ČR ; ředitelka Odboru zdravotnických povolání ; ONP MZ ; ředitelka Odboru zdravotnických povolání MZd","Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami (Členové) ; Resortní koordinační skupina Ministerstva zdravotnictví ČR pro Evropskou unii (Členové) ; Pracovní skupina pro dobrovolnictví ve zdravotnictví (Členové) ; Mezirezortní komise zdravotnického školství (Předseda) ; Rada pro duchovní péči ve zdravotnictví (Členové) ; Pracovní skupina k rovným příležitostem pro ženy a muže (Členové) ; Pracovní skupina pro koncepční řešení poskytování domácí péče v ČR (Místopředseda) ; Národní rada pro implementaci Národního onkologického programu (Členové) ; Pracovní skupina k zajištění dostupnosti psychoterapie, psychoterapeutických a psychosociálních intervencí (Členové) ; Odborná rada pro ošetřovatelství a řízení implementace a hodnocení úspěšnosti Koncepce ošetřovatelství (Místopředseda) ; Mezioborová a meziresortní pracovní skupina pro koncepční řešení problematiky Alzheimerovy nemoci a obdobných onemocnění (PS PAN) (Členové) ; Pracovní skupina pro koncepční řešení rozvoje geriatrické péče v České republice (Členové) ; Řídicí výbor implementace Strategického rámce rozvoje péče o zdraví v České republice do roku 2030 (Členové) ; Strategická skupina pro personální stabilizaci resortu zdravotnictví (Členové) ; Pracovní skupina pro nastavení systémových změn v odbornosti zdravotnický záchranář (Předseda)"
1453,"MUDr. Barbora Macková, MHA",13,"Předseda; Místopředseda; Členové","hlavní hygienička ČR ; hlavní hygienička ČR, ředitelka Státního zdravotního ústavu ; Státní zdravotní ústav ; hlavní hygienička ČR a ředitelka Státního zdravotního ústavu","Národní imunizační komise (NIKO) (Předseda) ; Mezirezortní koordinační pracovní skupina Národního programu HIV/AIDS (Předseda) ; Komise pro řešení závažných hrozeb pro veřejné zdraví s možnými přeshraničními dopady (Ústřední epidemiologická komise) (Místopředseda) ; Národní rada pro implementaci Národního onkologického programu (Členové) ; Centrální koordinační skupina Národního antibiotického programu (Předseda) ; Řídicí výbor implementace Strategického rámce rozvoje péče o zdraví v České republice do roku 2030 (Členové) ; Strategická skupina pro personální stabilizaci resortu zdravotnictví (Členové) ; Meziresortní pracovní skupina pro problematiku institucionálního stravování (Předseda) ; Meziresortní pracovní skupina pro rozvoj pohybových aktivit (Předseda) ; Národní institut pro zvládání pandemie (Místopředseda) ; Koncepční pracovní skupina pro přípravu budoucího programového období kohezní politiky EU 2028+ (Členové) ; Pracovní skupina pro reformu veřejného zdraví v ČR (Místopředseda) ; Pracovní skupina pro obezitu a diabetes v rámci Národního programu prevence a léčby obezity České republiky (Členové)"
1071,"Mgr. Blanka Kavková",12,"Členové; Hosté; Místopředseda","Odbor zdravotní péče MZd ; Odbor zdravotní péče Ministerstva zdravotnictví ; OZP MZ ; Ministerstvo zdravotnictví ; Odbor zdravotní péče MZD ; zástupkyně odboru zdravotní péče MZD","Pracovní skupina Ministerstva zdravotnictví pro koordinaci spolupráce s OECD (Členové) ; Národní rada pro implementaci Národního onkologického programu (Hosté) ; Pracovní skupina pro koncepční řešení oblasti zdravotních služeb a činností provozovaných dle živnostenského zákona (Místopředseda) ; Komise pro program screeningu karcinomu děložního hrdla (Členové) ; Komise pro program screeningu kolorektálního karcinomu (Členové) ; Pracovní skupina k problematice péče o pacienty s nařízeným ochranným léčením (Členové) ; Pracovní skupina pro koncepční řešení rozvoje geriatrické péče v České republice (Místopředseda) ; Pracovní skupina pro koncepční řešení pediatrické péče (Místopředseda) ; Komise pro schvalování pracovišť a zařazení radiologického pracoviště pro provádění magnetické rezonance (MRI) v rámci Populačního pilotního programu časného záchytu karcinomu prostaty v ČR a pro schvalování pracovišť a zařazení urologického pracoviště pro provádění biopsie prostaty v rámci Populačního pilotního programu časného záchytu karcinomu prostaty v ČR (Místopředseda) ; Pracovní skupina pro koncepci neurorehabilitační péče v ČR (Místopředseda) ; Komise pro podporu diagnostiky a léčby rakoviny slinivky břišní (Členové) ; Koncepční pracovní skupina pro přípravu budoucího programového období kohezní politiky EU 2028+ (Hosté)"
3263,"PhDr. Karel Hejduk",12,"Hosté; Tajemník; Předseda","Národní screeningové centrum ; Národní screeningové centrum, ÚZIS ČR ; Národní screeningové centrum ÚZIS ČR ; Národní screeningové centrum (NSC)","Národní rada pro implementaci Národního onkologického programu (Hosté) ; Komise pro přípravu programu screeningu aneurysmatu abdominální aorty (Tajemník) ; Komise pro program screeningu karcinomu děložního hrdla (Tajemník) ; Komise pro program časného záchytu karcinomu plic (Tajemník) ; Komise pro přípravu programu časného záchytu karcinomu prostaty (Tajemník) ; Komise pro program screeningu karcinomu prsu (Tajemník) ; Komise pro program screeningu kolorektálního karcinomu (Tajemník) ; Komise pro přípravu programu časného záchytu poruch štítné žlázy v těhotenství (Tajemník) ; Komise pro podporu diagnostiky a léčby rakoviny slinivky břišní (Tajemník) ; Komise pro novorozenecký laboratorní screening (Předseda) ; Řídící rada Národního screeningového centra (Tajemník) ; Výkonná rada Národního screeningového centra (Tajemník)"
3172,"RNDr. Ondřej Májek, Ph.D.",11,"Členové; Místopředseda; Předseda","Národní screeningové centrum, ÚZIS ČR ; Národní screeningové centrum ÚZIS ČR ; Národní screeningové centrum (NSC)","Pracovní skupina Ministerstva zdravotnictví pro koordinaci spolupráce s OECD (Členové) ; Komise pro přípravu programu screeningu aneurysmatu abdominální aorty (Místopředseda) ; Komise pro program screeningu karcinomu děložního hrdla (Místopředseda) ; Komise pro program časného záchytu karcinomu plic (Místopředseda) ; Komise pro přípravu programu časného záchytu karcinomu prostaty (Místopředseda) ; Komise pro program screeningu karcinomu prsu (Místopředseda) ; Komise pro program screeningu kolorektálního karcinomu (Místopředseda) ; Komise pro přípravu programu časného záchytu poruch štítné žlázy v těhotenství (Místopředseda) ; Komise pro podporu diagnostiky a léčby rakoviny slinivky břišní (Členové) ; Komise pro novorozenecký laboratorní screening (Členové) ; Výkonná rada Národního screeningového centra (Předseda)"
2692,"Mgr. Tomáš Troch",10,"Členové; Místopředseda","ředitel Odboru regulace cen a úhrad ; CAU MZ ; ředitel odboru regulace cen a úhrad MZD ; Ministerstvo zdravotnictví","Resortní koordinační skupina Ministerstva zdravotnictví ČR pro Evropskou unii (Členové) ; Pracovní skupina Ministerstva zdravotnictví pro koordinaci spolupráce s OECD (Členové) ; Pracovní skupina pro koncepční řešení poskytování domácí péče v ČR (Místopředseda) ; Meziresortní pracovní komise pro přípravu a koordinaci zavedení MKN-11 v ČR (Místopředseda) ; Pracovní skupina pro restrukturalizaci intenzivní zdravotní péče (Členové) ; Poradní skupina ekonomů lůžkové péče (Členové) ; Koncepční pracovní skupina pro přípravu budoucího programového období kohezní politiky EU 2028+ (Členové) ; Národní rada komplexních onkologických center (Členové) ; Výkonná rada Národního screeningového centra (Členové) ; Pracovní skupina pro specializovanou zdravotní péči a Centra vysoce specializované zdravotní péče (CVSP) (Členové)"
4195,"MUDr. Patrik Zachar",10,"Místopředseda; Členové; Předseda","Ministerstvo zdravotnictví ; vrchní ředitel sekce zdravotní péče MZd","Pracovní skupina pro reformu primární péče (Místopředseda) ; Pracovní skupina pro reformu primární péče (Členové) ; Pracovní skupina pro lékařské ozáření (Předseda) ; Komise pro posuzování rozmístění přístrojových zdravotnických prostředků a kapacit hrazených z veřejného zdravotního pojištění (Členové) ; Národní rada pro implementaci Národního onkologického programu (Předseda) ; Meziresortní pracovní skupiny k výkonu rozsudku V proti ČR (Předseda) ; Národní rada komplexních onkologických center (Členové) ; Řídící rada Národního screeningového centra (Místopředseda) ; Výkonná rada Národního screeningového centra (Členové) ; Pracovní skupina pro specializovanou zdravotní péči a Centra vysoce specializované zdravotní péče (CVSP) (Místopředseda)"
